scorer,team,opponent,minute,score
Schwarz,FSV Berolina Stralau 1901,VfB Concordia Britz 1916,31,0:1
Maiß,FSV Berolina Stralau 1901,VfB Concordia Britz 1916,83,1:2
Wojan,SV Stern Britz 1889,BSV Al-Dersimspor,81,4:1
Mangue,Köpenicker FC,SV Empor Berlin II,19,0:1
Ilinseer,Köpenicker FC,SV Empor Berlin II,68,1:2
Abou-Chaker,BFC Preussen II,TSV Rudow Berlin,21,1:0
Schneidawind,SV Empor Berlin II,FC Internationale Berlin 1980,31,1:1
Drannaschk,SV Empor Berlin II,FC Internationale Berlin 1980,57,2:1
Riese,BFC Meteor 06,Berliner SC II,51,1:0
Saberdest,Köpenicker FC,Türkiyemspor Berlin,41,2:1
Diallo,Köpenicker FC,Türkiyemspor Berlin,47,3:2
Diallo,Köpenicker FC,Türkiyemspor Berlin,81,3:3
Saberdest,Köpenicker FC,Türkiyemspor Berlin,90,3:4
Völckert,BSV Eintracht Mahlsdorf II,SV Stern Britz 1889,73,1:1
Preiss,BSV Eintracht Mahlsdorf II,SV Stern Britz 1889,82,2:1
Miranda Silva,SC Borsigwalde 1910,FC Viktoria 1889 Berlin II,49,1:1
Ciao,SC Borsigwalde 1910,FC Viktoria 1889 Berlin II,59,2:2
Yildirim,SC Borsigwalde 1910,FC Viktoria 1889 Berlin II,85,3:3
Bechler,VfB Concordia Britz 1916,Berliner SV 1892,18,0:1
Bechler,VfB Concordia Britz 1916,Berliner SV 1892,44,0:2
Molalegn,VfB Concordia Britz 1916,Berliner SV 1892,81,1:3
Schleifenbaum,VfB Concordia Britz 1916,Berliner SV 1892,83,1:4
Zauner,VfB Concordia Britz 1916,Berliner SV 1892,86,1:5
T. Sennur,TSV Rudow Berlin,BFC Preussen II,27,1:1
Maykowski,TSV Rudow Berlin,BFC Preussen II,51,1:2
Maykowski,TSV Rudow Berlin,BFC Preussen II,70,1:3
Wöhle,TSV Rudow Berlin,BFC Preussen II,90,1:4
Echeverra,FC Internationale Berlin 1980,SV Empor Berlin II,14,0:1
Boeddinghaus,FC Internationale Berlin 1980,SV Empor Berlin II,64,2:2
Oevermann,Berliner SC II,BFC Meteor 06,57,1:1
Antoniofrancisco,Berliner SC II,BFC Meteor 06,89,1:2
Ilinseer,Türkiyemspor Berlin,Köpenicker FC,19,1:0
Ilinseer,Türkiyemspor Berlin,Köpenicker FC,39,2:0
Bohnsack,Türkiyemspor Berlin,Köpenicker FC,45,3:1
Brei,SV Stern Britz 1889,BSV Eintracht Mahlsdorf II,56,0:1
Hölbling,FC Viktoria 1889 Berlin II,SC Borsigwalde 1910,43,0:1
Weinlein,FC Viktoria 1889 Berlin II,SC Borsigwalde 1910,56,1:2
Weinlein,FC Viktoria 1889 Berlin II,SC Borsigwalde 1910,66,2:3
Röchert,Berliner SV 1892,VfB Concordia Britz 1916,45,1:2
Eigentor,BSV Al-Dersimspor,FSV Berolina Stralau 1901,48,0:1
Günther,TSV Rudow Berlin,Köpenicker FC,65,1:0
Almedom,FC Viktoria 1889 Berlin II,FC Internationale Berlin 1980,85,1:2
Ibrom,Berliner SC II,VfB Concordia Britz 1916,90,1:1
Bechler,Berliner SV 1892,SV Empor Berlin II,7,1:0
Schleifenbaum,Berliner SV 1892,SV Empor Berlin II,62,2:1
Sobczyk,Berliner SV 1892,SV Empor Berlin II,84,3:1
Miranda Silva,SC Borsigwalde 1910,BSV Eintracht Mahlsdorf II,34,1:1
Yildirim,SC Borsigwalde 1910,BSV Eintracht Mahlsdorf II,45,2:1
Yildirim,SC Borsigwalde 1910,BSV Eintracht Mahlsdorf II,56,3:2
Emre,Türkiyemspor Berlin,FSV Berolina Stralau 1901,25,1:0
Tanis,Türkiyemspor Berlin,FSV Berolina Stralau 1901,45,2:0
Uzun,Türkiyemspor Berlin,FSV Berolina Stralau 1901,53,3:0
Jallah,Türkiyemspor Berlin,FSV Berolina Stralau 1901,84,4:0
Jallah,Türkiyemspor Berlin,FSV Berolina Stralau 1901,88,5:0
Böhm,BFC Meteor 06,BSV Al-Dersimspor,35,0:1
Taflaj,BFC Meteor 06,BSV Al-Dersimspor,87,0:2
Eymann,BFC Preussen II,SV Stern Britz 1889,34,0:1
Eymann,BFC Preussen II,SV Stern Britz 1889,35,0:2
Timur,BFC Preussen II,SV Stern Britz 1889,38,0:3
Mucuk,BFC Preussen II,SV Stern Britz 1889,48,0:4
Nnaemeka-Chukwurah,BFC Preussen II,SV Stern Britz 1889,73,0:5
Stahlberg,BFC Preussen II,SV Stern Britz 1889,85,0:6
Bauder,FC Internationale Berlin 1980,FC Viktoria 1889 Berlin II,27,0:1
Kranz,FC Internationale Berlin 1980,FC Viktoria 1889 Berlin II,60,0:2
Jordy Gase,VfB Concordia Britz 1916,Berliner SC II,31,0:1
Bochnia,SV Empor Berlin II,Berliner SV 1892,45,1:1
Halilcevic,BSV Eintracht Mahlsdorf II,SC Borsigwalde 1910,12,0:1
Halilcevic,BSV Eintracht Mahlsdorf II,SC Borsigwalde 1910,50,2:2
Macave,BSV Eintracht Mahlsdorf II,SC Borsigwalde 1910,84,3:3
Ondo Mangue,Köpenicker FC,SV Stern Britz 1889,17,1:0
Hartmann,Köpenicker FC,SV Stern Britz 1889,31,2:0
Ilinseer,Köpenicker FC,SV Stern Britz 1889,54,3:0
Hartmann,Köpenicker FC,SV Stern Britz 1889,60,4:0
Munsky,Köpenicker FC,SV Stern Britz 1889,64,5:0
Timur,BFC Preussen II,SC Borsigwalde 1910,17,1:1
Stahlberg,BFC Preussen II,SC Borsigwalde 1910,61,2:5
Mucuk,BFC Preussen II,SC Borsigwalde 1910,64,3:5
Riese,BFC Meteor 06,Türkiyemspor Berlin,20,1:0
Ugur,BFC Meteor 06,Türkiyemspor Berlin,45,2:0
Mendy,SV Empor Berlin II,Berliner SC II,24,1:0
Halilcevic,BSV Eintracht Mahlsdorf II,FC Viktoria 1889 Berlin II,11,1:0
Maroske,BSV Eintracht Mahlsdorf II,FC Viktoria 1889 Berlin II,28,2:0
Meißner,BSV Eintracht Mahlsdorf II,FC Viktoria 1889 Berlin II,45,3:0
Michas,BSV Eintracht Mahlsdorf II,FC Viktoria 1889 Berlin II,70,4:0
Baba,VfB Concordia Britz 1916,BSV Al-Dersimspor,23,0:1
Chawraba,VfB Concordia Britz 1916,BSV Al-Dersimspor,33,0:2
Baba,VfB Concordia Britz 1916,BSV Al-Dersimspor,64,0:3
Krasniqi,VfB Concordia Britz 1916,BSV Al-Dersimspor,88,1:4
Yildirim,SC Borsigwalde 1910,BFC Preussen II,8,0:1
Bubner,SC Borsigwalde 1910,BFC Preussen II,23,1:2
Yildirim,SC Borsigwalde 1910,BFC Preussen II,45,1:3
Kummer,SC Borsigwalde 1910,BFC Preussen II,48,1:4
Santanna Miranda Silva,SC Borsigwalde 1910,BFC Preussen II,60,1:5
Jalloh,Türkiyemspor Berlin,BFC Meteor 06,61,2:1
Leitner,Berliner SC II,SV Empor Berlin II,45,1:1
Da-Costa,BSV Al-Dersimspor,VfB Concordia Britz 1916,73,1:3
Kühn,BSV Al-Dersimspor,VfB Concordia Britz 1916,90,2:4
Busche,Berliner SV 1892,FC Internationale Berlin 1980,12,0:1
Sobczyk,Berliner SV 1892,FC Internationale Berlin 1980,64,0:2
T. Sennur,TSV Rudow Berlin,FSV Berolina Stralau 1901,18,0:1
Hassane,TSV Rudow Berlin,FSV Berolina Stralau 1901,38,0:2
T. Sennur,TSV Rudow Berlin,FSV Berolina Stralau 1901,51,0:3
Hortum,TSV Rudow Berlin,FSV Berolina Stralau 1901,67,0:4
Maykowski,TSV Rudow Berlin,BFC Meteor 06,30,1:0
Sik,SV Stern Britz 1889,FSV Berolina Stralau 1901,27,1:0
L. Leci,SV Stern Britz 1889,FSV Berolina Stralau 1901,29,2:0
Macias,FC Viktoria 1889 Berlin II,Berliner SV 1892,15,1:0
Weinlein,FC Viktoria 1889 Berlin II,Berliner SV 1892,33,2:0
Ait Manssour,FC Viktoria 1889 Berlin II,Berliner SV 1892,45,3:1
Macias,FC Viktoria 1889 Berlin II,Berliner SV 1892,89,4:2
Schmeißer,BSV Eintracht Mahlsdorf II,BFC Preussen II,17,1:1
Maroske,BSV Eintracht Mahlsdorf II,BFC Preussen II,84,2:2
Bothe,BSV Eintracht Mahlsdorf II,BFC Preussen II,87,3:2
Leitner,Berliner SC II,FC Internationale Berlin 1980,39,1:1
Santanna Miranda Silva,SC Borsigwalde 1910,Köpenicker FC,13,1:0
Santanna Miranda Silva,SC Borsigwalde 1910,Köpenicker FC,57,2:1
Saberdest,Türkiyemspor Berlin,VfB Concordia Britz 1916,6,1:0
Uzun,Türkiyemspor Berlin,VfB Concordia Britz 1916,18,2:0
Uzun,Türkiyemspor Berlin,VfB Concordia Britz 1916,24,3:0
Saberdest,Türkiyemspor Berlin,VfB Concordia Britz 1916,51,4:0
Karakus,Türkiyemspor Berlin,VfB Concordia Britz 1916,62,5:0
Saberdest,Türkiyemspor Berlin,VfB Concordia Britz 1916,68,6:0
Savkovic,BSV Al-Dersimspor,SV Empor Berlin II,5,1:0
Chawraba,BSV Al-Dersimspor,SV Empor Berlin II,23,2:1
Krasniqi,BSV Al-Dersimspor,SV Empor Berlin II,75,3:2
Villanueva Bravo,FSV Berolina Stralau 1901,SV Stern Britz 1889,49,2:1
Paschke,Berliner SV 1892,FC Viktoria 1889 Berlin II,40,2:1
Sobczyk,Berliner SV 1892,FC Viktoria 1889 Berlin II,65,3:2
Eigentor,BFC Preussen II,BSV Eintracht Mahlsdorf II,10,0:1
Gashi,BFC Preussen II,BSV Eintracht Mahlsdorf II,82,1:2
French,FC Internationale Berlin 1980,Berliner SC II,20,0:1
Bohnsack,Köpenicker FC,SC Borsigwalde 1910,52,1:1
Bohnsack,Köpenicker FC,SC Borsigwalde 1910,71,2:2
Weglöhner,VfB Concordia Britz 1916,Türkiyemspor Berlin,79,6:1
Schneidawind,SV Empor Berlin II,BSV Al-Dersimspor,13,1:1
Stolp,SV Empor Berlin II,BSV Al-Dersimspor,70,2:2
Seiler,SV Empor Berlin II,BSV Al-Dersimspor,90,3:3
Topal,FC Internationale Berlin 1980,BSV Al-Dersimspor,2,1:0
de Rosnay,FC Internationale Berlin 1980,BSV Al-Dersimspor,35,2:1
French,FC Internationale Berlin 1980,BSV Al-Dersimspor,36,3:1
Daus,FC Internationale Berlin 1980,BSV Al-Dersimspor,49,4:1
Avendano Leon,FC Internationale Berlin 1980,BSV Al-Dersimspor,54,5:1
French,FC Internationale Berlin 1980,BSV Al-Dersimspor,70,6:1
de Rosnay,FC Internationale Berlin 1980,BSV Al-Dersimspor,77,7:1
Kohlmann,BFC Preussen II,FC Viktoria 1889 Berlin II,35,1:1
Stahlberg,BFC Preussen II,FC Viktoria 1889 Berlin II,45,2:1
Kohlmann,BFC Preussen II,FC Viktoria 1889 Berlin II,59,3:1
Moreira Godinho,BFC Preussen II,FC Viktoria 1889 Berlin II,80,4:2
Nnaemeka-Chukwurah,BFC Preussen II,FC Viktoria 1889 Berlin II,86,5:2
Eigentor,BFC Meteor 06,SV Stern Britz 1889,33,1:0
Böhm,BFC Meteor 06,SV Stern Britz 1889,37,2:0
Karasu,BFC Meteor 06,SV Stern Britz 1889,42,3:0
Böhm,BFC Meteor 06,SV Stern Britz 1889,45,4:0
Jantzen,BFC Meteor 06,SV Stern Britz 1889,57,5:1
Adigüzel,BFC Meteor 06,SV Stern Britz 1889,77,6:1
Jüterbock,BFC Meteor 06,SV Stern Britz 1889,81,7:1
Hamiss,BFC Meteor 06,SV Stern Britz 1889,86,8:1
Riese,BFC Meteor 06,SV Stern Britz 1889,90,9:1
Hartmann,Köpenicker FC,BSV Eintracht Mahlsdorf II,71,1:2
Seiler,SV Empor Berlin II,Türkiyemspor Berlin,93,1:0
Drannaschk,SV Empor Berlin II,Türkiyemspor Berlin,96,2:0
Bellin,Berliner SV 1892,Berliner SC II,70,1:0
Diokhane,BSV Al-Dersimspor,FC Internationale Berlin 1980,14,1:1
Ait Manssour,FC Viktoria 1889 Berlin II,BFC Preussen II,22,0:1
Llauger,FC Viktoria 1889 Berlin II,BFC Preussen II,70,3:2
Shawdri,SV Stern Britz 1889,BFC Meteor 06,51,4:1
Pyplatz,SV Stern Britz 1889,BFC Meteor 06,90,9:2
Stöver,BSV Eintracht Mahlsdorf II,Köpenicker FC,1,0:1
Völckert,BSV Eintracht Mahlsdorf II,Köpenicker FC,19,0:2
Schmeißer,BSV Eintracht Mahlsdorf II,Köpenicker FC,73,1:3
Reichenberger,BSV Eintracht Mahlsdorf II,Köpenicker FC,79,1:4
Wuthe,TSV Rudow Berlin,VfB Concordia Britz 1916,15,0:1
Günther,TSV Rudow Berlin,VfB Concordia Britz 1916,53,0:2
Haj Joussef,TSV Rudow Berlin,VfB Concordia Britz 1916,90,0:3
Miranda Silva,SC Borsigwalde 1910,FSV Berolina Stralau 1901,10,0:1
Miranda Silva,SC Borsigwalde 1910,FSV Berolina Stralau 1901,75,0:2
Miranda Silva,SC Borsigwalde 1910,BFC Meteor 06,4,1:0
Furkan Yildirim,SC Borsigwalde 1910,BFC Meteor 06,27,2:1
Stefaniszin,SC Borsigwalde 1910,BFC Meteor 06,85,3:1
Sik,SV Stern Britz 1889,VfB Concordia Britz 1916,43,1:0
Shawdri,SV Stern Britz 1889,VfB Concordia Britz 1916,61,2:0
Duman,SV Stern Britz 1889,VfB Concordia Britz 1916,76,3:0
Mucuk,BFC Preussen II,Köpenicker FC,2,1:0
Godinho,BFC Preussen II,Köpenicker FC,11,2:0
Godinho,BFC Preussen II,Köpenicker FC,41,3:0
Engelsing,BFC Preussen II,Köpenicker FC,47,4:0
Badu-Amoah,TSV Rudow Berlin,SV Empor Berlin II,66,1:0
Ait Manssour,FC Viktoria 1889 Berlin II,Berliner SC II,17,1:0
Thiele,FC Viktoria 1889 Berlin II,Berliner SC II,22,2:0
Baba,BSV Al-Dersimspor,Berliner SV 1892,63,1:0
Kahraman,BSV Al-Dersimspor,Berliner SV 1892,81,2:0
Essel,BSV Al-Dersimspor,Berliner SV 1892,90,3:0
Böhm,BFC Meteor 06,SC Borsigwalde 1910,25,1:1
Hamann,Köpenicker FC,BFC Preussen II,83,4:1
Kaggelidids,Berliner SC II,FC Viktoria 1889 Berlin II,36,2:1
Stier,FSV Berolina Stralau 1901,BSV Eintracht Mahlsdorf II,58,0:1
Schwarz,FSV Berolina Stralau 1901,BSV Eintracht Mahlsdorf II,79,0:2
Stanley,FC Internationale Berlin 1980,Türkiyemspor Berlin,88,0:1
Kranz,FC Internationale Berlin 1980,Türkiyemspor Berlin,90,0:2
T. Sennur,TSV Rudow Berlin,SV Stern Britz 1889,10,1:0
T. Sennur,TSV Rudow Berlin,SV Stern Britz 1889,22,2:0
Günther,TSV Rudow Berlin,SV Stern Britz 1889,23,3:0
4:0  (37.) Günther,TSV Rudow Berlin,SV Stern Britz 1889,37,4:0
T. Sennur,TSV Rudow Berlin,SV Stern Britz 1889,45,5:1
Bayram,TSV Rudow Berlin,SV Stern Britz 1889,45,6:1
Günther,TSV Rudow Berlin,SV Stern Britz 1889,67,7:2
Hassane,TSV Rudow Berlin,SV Stern Britz 1889,76,8:2
S. Sennur,TSV Rudow Berlin,SV Stern Britz 1889,87,9:2
Macias,FC Viktoria 1889 Berlin II,VfB Concordia Britz 1916,15,1:0
Weinlein,FC Viktoria 1889 Berlin II,VfB Concordia Britz 1916,36,2:0
Weinlein,FC Viktoria 1889 Berlin II,VfB Concordia Britz 1916,67,3:0
Nkrumah,FC Viktoria 1889 Berlin II,VfB Concordia Britz 1916,90,4:1
Weinlein,FC Viktoria 1889 Berlin II,VfB Concordia Britz 1916,90,5:1
Dinh,SV Empor Berlin II,BFC Meteor 06,19,1:1
Dinh,SV Empor Berlin II,BFC Meteor 06,27,2:1
Jalloh,Türkiyemspor Berlin,SC Borsigwalde 1910,28,1:0
Jost,Berliner SV 1892,Köpenicker FC,38,1:0
Sobczyk,Berliner SV 1892,Köpenicker FC,45,2:0
Zauner,Berliner SV 1892,Köpenicker FC,83,3:0
Schleifenbaum,Berliner SV 1892,Köpenicker FC,89,4:0
Costa Echeverria,FC Internationale Berlin 1980,FSV Berolina Stralau 1901,39,1:1
De Rosnay,FC Internationale Berlin 1980,FSV Berolina Stralau 1901,73,2:1
Chawraba,BSV Al-Dersimspor,BSV Eintracht Mahlsdorf II,16,1:0
Höhna,SV Stern Britz 1889,TSV Rudow Berlin,40,4:1
L. Leci,SV Stern Britz 1889,TSV Rudow Berlin,53,6:2
Höhle,VfB Concordia Britz 1916,FC Viktoria 1889 Berlin II,76,3:1
Ben Mustapha,BFC Meteor 06,SV Empor Berlin II,14,0:1
Balde,BFC Meteor 06,SV Empor Berlin II,45,2:2
Nerlich,BFC Meteor 06,SV Empor Berlin II,58,2:3
Karasu,BFC Meteor 06,SV Empor Berlin II,61,2:4
Demiryürek,BFC Meteor 06,SV Empor Berlin II,90,2:5
Furkan Yildirim,SC Borsigwalde 1910,Türkiyemspor Berlin,42,1:1
Heßler,FSV Berolina Stralau 1901,FC Internationale Berlin 1980,36,0:1
Ait Manssour,FC Viktoria 1889 Berlin II,BSV Al-Dersimspor,9,1:0
Weinlein,FC Viktoria 1889 Berlin II,BSV Al-Dersimspor,10,2:0
Dieckert,FC Viktoria 1889 Berlin II,BSV Al-Dersimspor,57,3:1
Timur,BFC Preussen II,BFC Meteor 06,5,1:0
Berner,BFC Preussen II,BFC Meteor 06,55,2:0
Kohlmann,BFC Preussen II,BFC Meteor 06,57,3:0
Szerwinski,BFC Preussen II,BFC Meteor 06,89,4:2
Engelsing,BFC Preussen II,BFC Meteor 06,90,5:2
Günther,TSV Rudow Berlin,Berliner SV 1892,43,1:0
Günther,TSV Rudow Berlin,Berliner SV 1892,90,2:0
Mansour,BSV Eintracht Mahlsdorf II,VfB Concordia Britz 1916,45,1:1
Preiß,BSV Eintracht Mahlsdorf II,VfB Concordia Britz 1916,57,2:1
Grützner,BSV Eintracht Mahlsdorf II,VfB Concordia Britz 1916,82,3:1
Rondinelli,SC Borsigwalde 1910,SV Empor Berlin II,38,1:0
Koca,Türkiyemspor Berlin,Berliner SC II,80,1:0
Chawraba,BSV Al-Dersimspor,FC Viktoria 1889 Berlin II,27,2:1
Chawraba,BSV Al-Dersimspor,FC Viktoria 1889 Berlin II,85,3:2
Karasu,BFC Meteor 06,BFC Preussen II,65,3:1
Karasu,BFC Meteor 06,BFC Preussen II,72,3:2
Costa Echeverria,FC Internationale Berlin 1980,SV Stern Britz 1889,62,0:1
Stanley,FC Internationale Berlin 1980,SV Stern Britz 1889,85,0:2
Bauder,FC Internationale Berlin 1980,SV Stern Britz 1889,87,0:3
Höhle,VfB Concordia Britz 1916,BSV Eintracht Mahlsdorf II,13,0:1
Mendy,SV Empor Berlin II,SC Borsigwalde 1910,57,1:1
Lorenz,Berliner SC II,Türkiyemspor Berlin,90,1:1
Topal,FC Internationale Berlin 1980,TSV Rudow Berlin,66,1:1
Böhm,BFC Meteor 06,BSV Eintracht Mahlsdorf II,45,1:0
1:0  (68.) Bohnsack,Köpenicker FC,FC Viktoria 1889 Berlin II,68,1:0
Bohnsack,Köpenicker FC,FC Viktoria 1889 Berlin II,26,2:0
Ilinseer,Köpenicker FC,FC Viktoria 1889 Berlin II,79,3:3
Bochnia,SV Empor Berlin II,SV Stern Britz 1889,13,1:0
Tuckerman,SV Empor Berlin II,SV Stern Britz 1889,30,2:1
Lorenz,Berliner SC II,BSV Al-Dersimspor,76,1:0
Lorenz,Berliner SC II,BSV Al-Dersimspor,90,2:0
Bellin,Berliner SV 1892,Türkiyemspor Berlin,64,1:0
Tröger,Berliner SV 1892,Türkiyemspor Berlin,70,2:0
Höhle,VfB Concordia Britz 1916,SC Borsigwalde 1910,5,1:0
Kühn,VfB Concordia Britz 1916,SC Borsigwalde 1910,6,2:0
Souza Rosa,VfB Concordia Britz 1916,SC Borsigwalde 1910,86,3:4
Hortum,TSV Rudow Berlin,FC Internationale Berlin 1980,51,0:1
Schlembach,FC Viktoria 1889 Berlin II,Köpenicker FC,71,2:1
Nagel,FC Viktoria 1889 Berlin II,Köpenicker FC,72,2:2
Nagel,FC Viktoria 1889 Berlin II,Köpenicker FC,75,2:3
Sik,SV Stern Britz 1889,SV Empor Berlin II,25,1:1
Schulz,SV Stern Britz 1889,SV Empor Berlin II,39,2:2
Engelsing,BFC Preussen II,FSV Berolina Stralau 1901,28,0:1
Özcan,BFC Preussen II,FSV Berolina Stralau 1901,66,0:2
Godinho,BFC Preussen II,FSV Berolina Stralau 1901,69,0:3
Weise,SC Borsigwalde 1910,VfB Concordia Britz 1916,14,2:1
Crone,SC Borsigwalde 1910,VfB Concordia Britz 1916,53,2:2
Miranda Silva,SC Borsigwalde 1910,VfB Concordia Britz 1916,61,2:3
Miranda Silva,SC Borsigwalde 1910,VfB Concordia Britz 1916,65,2:4
Demiryürek,BFC Meteor 06,Köpenicker FC,36,1:0
Heimur,BFC Meteor 06,Köpenicker FC,48,2:0
Jantzen,BFC Meteor 06,Köpenicker FC,80,3:0
Bochnia,SV Empor Berlin II,BSV Eintracht Mahlsdorf II,2,1:0
Ait Manssour,FC Viktoria 1889 Berlin II,FSV Berolina Stralau 1901,31,1:1
Bendjelloul,FC Viktoria 1889 Berlin II,FSV Berolina Stralau 1901,39,2:1
Ait Manssour,FC Viktoria 1889 Berlin II,FSV Berolina Stralau 1901,45,3:1
Einspannier,Berliner SC II,TSV Rudow Berlin,40,1:1
Zauner,Berliner SV 1892,SV Stern Britz 1889,54,1:0
Topal,FC Internationale Berlin 1980,SC Borsigwalde 1910,63,1:0
Kühn,VfB Concordia Britz 1916,BFC Preussen II,25,1:0
Maroske,BSV Eintracht Mahlsdorf II,SV Empor Berlin II,11,1:1
Reichenberger,BSV Eintracht Mahlsdorf II,SV Empor Berlin II,17,1:2
Maroske,BSV Eintracht Mahlsdorf II,SV Empor Berlin II,26,1:3
Maroske,BSV Eintracht Mahlsdorf II,SV Empor Berlin II,42,1:4
Reichenberger,BSV Eintracht Mahlsdorf II,SV Empor Berlin II,45,1:5
Halilcevic,BSV Eintracht Mahlsdorf II,SV Empor Berlin II,50,1:6
Halilcevic,BSV Eintracht Mahlsdorf II,SV Empor Berlin II,61,1:7
Schmeißer,BSV Eintracht Mahlsdorf II,SV Empor Berlin II,89,1:8
Welch,FSV Berolina Stralau 1901,FC Viktoria 1889 Berlin II,2,0:1
Stier,FSV Berolina Stralau 1901,FC Viktoria 1889 Berlin II,49,3:2
Heßler,FSV Berolina Stralau 1901,FC Viktoria 1889 Berlin II,52,3:3
Bresemann,FSV Berolina Stralau 1901,FC Viktoria 1889 Berlin II,59,3:4
Bresemann,FSV Berolina Stralau 1901,FC Viktoria 1889 Berlin II,66,3:5
Jonach,FSV Berolina Stralau 1901,FC Viktoria 1889 Berlin II,88,3:6
Burda,TSV Rudow Berlin,Berliner SC II,3,0:1
Günther,TSV Rudow Berlin,Berliner SC II,67,1:2
Crone,SC Borsigwalde 1910,FC Internationale Berlin 1980,69,1:1
Abou-Chaker,BFC Preussen II,VfB Concordia Britz 1916,66,1:1
Arslani,BFC Preussen II,VfB Concordia Britz 1916,85,1:2
Yoldas Emre,Türkiyemspor Berlin,BSV Al-Dersimspor,33,0:1
Yoldas Emre,Türkiyemspor Berlin,BSV Al-Dersimspor,34,0:2
Preiss,BSV Eintracht Mahlsdorf II,FC Internationale Berlin 1980,22,1:0
Eberl,BSV Eintracht Mahlsdorf II,FC Internationale Berlin 1980,63,2:0
Gashi,BFC Preussen II,SV Empor Berlin II,36,1:1
Gashi,BFC Preussen II,SV Empor Berlin II,39,2:1
Abou-Chaker,BFC Preussen II,SV Empor Berlin II,51,3:1
Hartmann,Köpenicker FC,VfB Concordia Britz 1916,20,1:0
Ilinseer,Köpenicker FC,VfB Concordia Britz 1916,29,2:0
Da-Costa,Köpenicker FC,VfB Concordia Britz 1916,40,3:1
Ilinseer,Köpenicker FC,VfB Concordia Britz 1916,44,4:1
Hartmann,Köpenicker FC,VfB Concordia Britz 1916,45,5:1
Ilinseer,Köpenicker FC,VfB Concordia Britz 1916,52,6:1
Foth,Köpenicker FC,VfB Concordia Britz 1916,65,7:1
Wittenburg,Köpenicker FC,VfB Concordia Britz 1916,79,8:1
9:1  (90.) Wittenburg,Köpenicker FC,VfB Concordia Britz 1916,90,9:1
Tauschwitz,Köpenicker FC,VfB Concordia Britz 1916,90,10:1
Yilmas,Türkiyemspor Berlin,FC Viktoria 1889 Berlin II,62,1:1
Uzun,Türkiyemspor Berlin,FC Viktoria 1889 Berlin II,77,2:1
Welch,FSV Berolina Stralau 1901,BFC Meteor 06,1,1:0
Schwarz,FSV Berolina Stralau 1901,BFC Meteor 06,24,2:1
